Date,"Price : Iron Ore Fines, NMDC, Chattisgarh, India : 0 -10 mm,Fe 64%"
2021-04-03,4560
2021-04-14,5060
2021-05-12,6560
2021-06-07,6560
2021-07-10,6360
2021-08-06,6160
2021-09-04,5160
2021-10-05,4760
2021-11-06,4760
2021-11-30,4560
2021-12-28,4060
2022-01-30,4260
2022-02-25,4560
2022-03-08,4960
2022-04-01,5160
2022-04-30,5160
2022-05-25,4410
2022-06-06,3310
2022-07-12,2810
2022-08-11,2910
2022-09-08,2910
2022-10-08,2910
2022-11-17,2610
2022-11-30,2910
2023-01-01,3410
2023-01-28,3910
2023-03-21,4110
2023-04-29,4010
2023-05-30,3560
2023-07-18,4210
2023-08-15,3910
2023-09-14,4210
2023-10-01,4460
2023-11-23,4660
2024-01-02,4910
2024-01-24,5310
2024-03-21,5060
2024-04-27,5260
2024-05-28,5610
2024-06-30,5110
2024-08-07,4610
2024-10-01,5010
2024-10-23,5410
2025-01-09,5060
2025-05-01,5500
