Date,Price 
5/30/2020,38200
6/6/2020,37700
6/13/2020,37000
6/20/2020,36500
6/27/2020,36500
7/4/2020,35800
7/11/2020,35500
7/18/2020,35000
7/25/2020,35000
8/1/2020,36000
8/8/2020,37200
8/14/2020,38000
8/22/2020,38500
8/29/2020,38500
9/5/2020,39200
9/12/2020,39200
9/19/2020,39500
9/26/2020,39500
10/3/2020,39500
10/10/2020,39500
10/17/2020,39500
10/24/2020,39500
10/31/2020,39500
11/9/2020,42000
11/13/2020,43300
11/21/2020,45000
11/28/2020,45700
12/5/2020,48000
12/12/2020,50500
12/19/2020,52000
12/26/2020,52700
1/2/2021,55000
1/9/2021,56500
1/16/2021,56000
1/23/2021,54500
1/30/2021,53600
2/6/2021,51800
2/13/2021,48800
2/20/2021,48200
2/27/2021,48800
3/6/2021,49500
3/13/2021,49500
3/20/2021,49500
3/27/2021,49500
4/6/2021,52500
4/10/2021,52500
4/17/2021,53000
4/24/2021,54500
5/1/2021,54500
5/8/2021,56000
5/15/2021,56000
5/22/2021,55200
5/29/2021,54500
6/5/2021,54000
6/12/2021,53400
6/19/2021,52000
6/26/2021,52000
7/3/2021,50800
7/10/2021,50200
7/17/2021,49500
7/24/2021,49500
7/31/2021,50200
8/7/2021,51500
8/13/2021,51500
8/20/2021,52000
8/27/2021,52500
9/3/2021,52500
9/10/2021,52500
9/17/2021,52000
9/24/2021,51500
10/1/2021,53750
10/6/2021,56000
10/8/2021,56000
10/14/2021,58500
10/22/2021,60000
10/29/2021,60000
11/6/2021,62500
11/12/2021,62500
11/19/2021,61000
11/26/2021,59500
12/3/2021,58000
12/10/2021,55500
12/17/2021,55000
12/22/2021,54500
12/24/2021,54500
12/31/2021,55000
1/7/2022,55500
1/14/2022,55500
1/21/2022,56500
1/28/2022,57500
2/4/2022,61500
2/11/2022,62500
2/18/2022,62500
2/25/2022,63500
3/4/2022,68500
3/11/2022,73000
3/17/2022,72500
3/25/2022,73500
4/1/2022,74000
4/8/2022,75000
4/15/2022,73000
4/22/2022,72500
4/29/2022,72000
5/6/2022,71500
5/13/2022,69500
5/20/2022,68500
5/27/2022,66700
6/3/2022,63500
6/10/2022,62000
6/17/2022,61000
6/24/2022,59600
7/1/2022,59300
7/8/2022,59000
7/15/2022,60000
7/22/2022,58900
7/29/2022,58900
8/5/2022,58700
8/12/2022,58000
8/19/2022,57600
8/26/2022,57000
9/2/2022,56300
9/9/2022,55600
9/16/2022,55500
9/23/2022,55300
9/30/2022,55800
10/7/2022,56200
10/14/2022,57100
10/21/2022,57100
10/28/2022,57100
11/4/2022,56300
11/11/2022,56100
11/18/2022,55900
11/25/2022,55800
12/2/2022,55600
12/9/2022,56500
12/16/2022,57300
12/23/2022,57100
12/30/2022,58500
1/6/2023,60300
1/13/2023,60300
1/20/2023,61600
1/27/2023,63000
2/3/2023,64300
2/10/2023,64200
2/17/2023,63300
2/24/2023,62900
3/3/2023,62700
3/10/2023,62100
3/17/2023,60800
3/24/2023,60700
3/31/2023,60400
4/7/2023,59700
4/14/2023,59200
4/21/2023,58800
4/28/2023,58200
5/5/2023,57900
5/12/2023,57400
5/19/2023,56200
5/26/2023,55300
6/2/2023,55200
6/9/2023,54500
6/16/2023,53500
6/23/2023,53000
6/30/2023,52600
7/7/2023,52000
7/14/2023,51300
7/21/2023,50800
7/28/2023,50000
8/4/2023,50000
8/11/2023,50400
8/18/2023,51000
8/25/2023,51800
9/1/2023,53900
9/8/2023,56100
9/15/2023,56300
9/22/2023,57300
9/29/2023,57300
10/6/2023,57700
10/13/2023,57400
10/20/2023,57100
10/27/2023,56600
11/3/2023,56300
11/10/2023,56100
11/17/2023,56100
11/24/2023,55600
12/1/2023,55200
12/8/2023,54700
12/15/2023,53800
12/22/2023,53300
12/29/2023,52700
1/5/2024,52400
1/12/2024,51900
1/19/2024,51500
1/25/2024,51800
2/2/2024,51900
2/9/2024,52000
2/16/2024,51500
2/23/2024,51400
3/1/2024,51400
3/8/2024,51500
3/15/2024,52100
3/22/2024,52000
3/29/2024,52000
4/5/2024,52600
4/12/2024,53400
4/19/2024,55600
4/26/2024,56500
5/3/2024,58500
5/10/2024,58900
5/17/2024,58400
5/24/2024,58200
5/31/2024,58200
6/7/2024,58600
6/14/2024,58100
6/21/2024,58000
6/28/2024,56800
7/5/2024,55900
7/12/2024,54700
7/19/2024,52800
7/26/2024,52100
8/2/2024,51700
8/9/2024,50800
8/16/2024,50200
8/23/2024,49800
8/30/2024,50200
9/6/2024,50800
9/13/2024,50800
9/20/2024,50700
9/27/2024,51200
10/4/2024,53500
10/11/2024,54500
10/18/2024,54900
10/25/2024,55000
11/8/2024,55300
11/15/2024,55100
11/22/2024,54900
11/29/2024,53800
12/6/2024,53300
12/13/2024,52400
12/20/2024,51800
12/27/2024,51600
1/3/2025,52100
1/10/2025,51900
1/17/2025,51700
1/24/2025,51000
1/31/2025,50900
2/7/2025,51800
2/14/2025,52600
2/21/2025,52700
2/28/2025,53600
3/7/2025,55100
3/13/2025,55100
3/21/2025,56200
3/28/2025,56800
4/4/2025,57800
4/11/2025,58300
4/18/2025,58000
4/25/2025,57400
